Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,MAPE_mean,MAPE_std,Acc_2yr_mean,Acc_2yr_std,Acc_5yr_mean,Acc_5yr_std,Max_Error_mean,Max_Error_std,Min_Error_mean,Min_Error_std,Median_Error_mean,Median_Error_std
ResNet50,5.02,0.34,7.56,0.56,0.23,0.1,25.01,3.78,27.04,7.96,69.6,5.94,31.23,8.18,0.07,0.05,3.29,0.57
DenseNet121,4.74,0.53,7.8,0.47,0.18,0.13,20.66,3.71,35.77,14.41,75.62,5.65,32.05,8.55,0.08,0.09,2.78,0.92
InceptionV3,4.67,0.48,7.69,0.64,0.2,0.12,21.78,5.89,40.72,6.25,74.27,6.1,32.66,8.16,0.03,0.04,2.63,0.49
InceptionResNetV2,4.99,0.48,7.58,0.95,0.21,0.2,23.12,2.53,26.66,9.07,69.98,4.84,30.94,8.91,0.05,0.04,3.46,0.53
EfficientNetV2M,5.56,0.61,8.43,0.86,0.05,0.11,26.11,3.29,22.91,6.5,61.38,11.44,34.73,9.33,0.09,0.13,4.07,0.87
