Model,MAE,RMSE,R2,MAPE,Within_2yr,Within_5yr,Within_10yr,Max_Error,Median_Error
SwinV2_Tiny,8.576954051951237,9.242010284732268,-1.1350078877331495,55.33698926163674,1.7241379310344827,2.586206896551724,81.03448275862068,23.983472760518392,8.05234760708279
MobileViT_XXS,2.900375321488424,6.253886357704154,0.02238792006729784,14.544973183695864,62.06896551724138,93.96551724137932,95.6896551724138,34.75427773793538,1.4984688229031038
ConvNeXtV2_Tiny,4.398941721223931,6.5639945333495575,-0.07696852325166104,27.255767679500575,38.793103448275865,73.27586206896551,87.06896551724138,25.097944577534992,2.7989439434475383
TinyViT_11M,3.152173484301034,6.0076100228007006,0.09786806839739493,17.172672304334156,57.758620689655174,81.03448275862068,96.55172413793103,31.203321997324625,1.6908104684617786
Ensemble (all),4.312161329998521,6.359017843252082,-0.010756810060767119,25.95625764770282,33.62068965517241,76.72413793103449,96.55172413793103,28.759754268328347,3.2788621054755307
