Type,Name,Method,Metric,Computed,Reported,Status
Ensemble,Best 2,Grid Search,Within ±2 Years (%),50.86,50.86,PASS
Ensemble,Best 2,Grid Search,Within ±5 Years (%),93.1,93.1,PASS
Ensemble,Best 2,Grid Search,Max Error,34.36,34.36,PASS
Ensemble,Best 2,Grid Search,Median Error,1.91,1.91,PASS
Ensemble,Best 2,MAE-based,MAE,3.45,3.45,PASS
Ensemble,Best 2,MAE-based,RMSE,6.39,6.39,PASS
Ensemble,Best 2,MAE-based,R2,-0.02,-0.02,PASS
Ensemble,Best 2,MAE-based,MAPE (%),18.66,18.66,PASS
Ensemble,Best 2,MAE-based,Within ±2 Years (%),44.83,44.83,PASS
Ensemble,Best 2,MAE-based,Within ±5 Years (%),89.66,89.66,PASS
Ensemble,Best 2,MAE-based,Max Error,33.71,33.71,PASS
Ensemble,Best 2,MAE-based,Median Error,2.15,2.15,PASS
