system_A,system_B,delta_mae,ci_low,ci_high,p_value,significant_holm,n_pages
ResNet50,CNN_Best4_Grid,0.3900110131157226,0.16356522833459206,0.6055868018973208,0.0006,True,116
CNN_Best4_Grid,ViT_Best3_Grid,-0.0410410624319546,-0.18616342146220036,0.10667474659181,0.59,False,116
DiT_Best2_Grid,CNN_Best4_Grid,0.4438244731523069,0.17832678243987246,0.7046341694619764,0.002,True,116
DiT_Best2_Grid,ViT_Best3_Grid,0.4027834107203523,0.11655741164957087,0.6864465322041823,0.0056,True,116
