system,MAE,RMSE,R2,MAPE,Acc_2yr,Acc_5yr,Max_Error,Min_Error,Median_Error
InceptionV3,3.3080921897862026,6.204151623713662,0.037875231760555295,18.046680579070028,48.275862068965516,87.06896551724138,33.981131966666666,0.05905161111111035,2.035117333333332
MobileViT-XXS,2.78529835775862,6.13165578444377,0.060228820227340885,13.590617472896186,65.51724137931035,93.96551724137932,34.905926,0.04632600000000053,1.350098000000001
Ensemble,2.8065708579438673,6.0916323557650145,0.07245720030798852,14.32527785016987,62.93103448275862,90.51724137931035,34.44352898333334,0.01607916666666398,1.2857296701388883
