system,overall_accuracy,n,recall_<=15,recall_16-25,recall_26-50,recall_>50
CNN_Best3Grid,45.689655172413794,116,9.67741935483871,97.91666666666666,0.0,0.0
MobileViT_XXS,40.51724137931034,116,25.806451612903224,64.58333333333334,0.0,0.0
ViT_EqualMean,40.51724137931034,116,56.451612903225815,25.0,0.0,0.0
