Model,Fold,MAE,RMSE,R2,MAPE,Acc_2yr,Acc_5yr,Acc_10yr,Max_Error,Median_Error,Min_Error
ConvNeXtV2_Tiny,1,7.404561331909435,8.588110491303604,0.0773022003438979,39.838334314624916,12.598425196850393,26.77165354330709,81.88976377952756,21.74865659077962,7.278162638346355,0.11929766337076941
ConvNeXtV2_Tiny,2,9.330851140033683,11.011582677810889,-0.725468376717028,63.7868225201016,10.096153846153847,26.442307692307693,62.5,30.91511268615723,9.091689321729872,0.034548600514728633
ConvNeXtV2_Tiny,3,8.034403109563986,9.404794323317727,-0.01879920701723181,44.352841026181764,12.70718232044199,23.756906077348066,79.00552486187846,32.52661652035184,8.333897060818146,0.005748351414997188
ConvNeXtV2_Tiny,4,8.065001399807961,9.66814292046873,-0.2996508215355598,48.00124065302906,11.515151515151516,22.424242424242426,81.21212121212122,32.69205792744954,7.894872983296711,0.35254859924316406
ConvNeXtV2_Tiny,5,7.04703005319196,8.13681882449107,-0.02685002201883746,38.613932940213786,15.422885572139302,27.860696517412936,83.08457711442786,19.601044125027123,7.6005874209933815,0.061973677741157474
MobileViT_XXS,1,6.287548633521388,8.577903765376341,0.07949409743593883,29.82549647870013,18.11023622047244,51.96850393700787,88.18897637795276,26.536561409632363,4.953940285576717,0.00012026892768091102
MobileViT_XXS,2,4.878585139008475,8.226976551096277,0.03686307055086413,24.48529310447339,30.76923076923077,67.3076923076923,96.15384615384616,39.19965351952447,4.0815956479027165,0.059193823072643426
MobileViT_XXS,3,6.463288380625851,9.125106283080042,0.040895658673756774,28.295744534390323,11.049723756906078,59.11602209944752,88.95027624309392,39.73915089501275,4.661884095933701,0.0328648885091134
MobileViT_XXS,4,4.335579203030684,8.038503552577726,0.10155607154875845,20.0094088344723,41.21212121212121,75.15151515151514,94.54545454545455,39.501612186431885,2.339502758449978,0.017283545600044192
MobileViT_XXS,5,5.987478925927657,7.506780593599983,0.12601260348685084,30.000749751812062,11.940298507462686,54.22885572139303,84.07960199004975,21.484023094177243,4.856203715006512,0.043117523193359375
SwinV2_Tiny,1,7.189772893196967,9.059623898857685,-0.02679696409854504,36.66953486593151,16.535433070866144,32.28346456692913,86.61417322834646,25.58254869778951,7.416635089450413,0.4173996183607329
SwinV2_Tiny,2,9.89035389565301,11.336038035975596,-0.8286479574636376,67.32134462428726,8.653846153846153,23.076923076923077,50.96153846153846,30.157626469930012,9.956526332431368,0.27869701385498047
SwinV2_Tiny,3,6.934041291588885,9.373464136200809,-0.01202266251515871,31.449498295998247,13.259668508287293,46.96132596685083,87.29281767955801,40.09326193067763,5.906697379218208,1.0933396021525112
SwinV2_Tiny,4,7.8367412257038485,9.718166565517981,-0.31313458227812596,46.48404995603409,13.939393939393941,26.666666666666668,85.45454545454545,34.388276179631546,8.612199783325195,0.3885247366768958
SwinV2_Tiny,5,7.618095007682228,8.600043864519112,-0.14709413011119143,43.031973749130934,18.407960199004975,25.870646766169152,73.6318407960199,17.704732577006023,8.517523002624511,0.006653467814128788
TinyViT_11M,1,7.542237158192818,9.014356474685437,-0.016561587478671314,39.68464756125299,7.086614173228346,32.28346456692913,80.31496062992126,24.162532488505043,6.999521255493164,0.41842460632323863
TinyViT_11M,2,5.056098753408341,8.403787741057453,-0.004980570866703671,25.75675426851341,27.403846153846157,64.42307692307693,95.67307692307693,40.81012307273017,4.017388485898877,0.005648083157009154
TinyViT_11M,3,8.411195858998774,9.815566053648107,-0.1097386034592529,46.39924495098964,11.049723756906078,24.30939226519337,69.06077348066299,33.30465677049425,8.26308970981174,0.013882795969642814
TinyViT_11M,4,5.0151099900495835,7.9244882723927725,0.12686174573472686,26.052742339119263,24.848484848484848,65.45454545454545,94.54545454545455,37.737307151158646,3.3117997646331787,0.13340738084581005
TinyViT_11M,5,7.305850336021212,8.32769659741013,-0.07559187518951638,41.1679213771504,14.925373134328357,26.368159203980102,76.61691542288557,19.178069997716833,7.839134428236221,0.10357618331908824
