system,metric,point,ci_low,ci_high,B
CNN_Best3Grid,MAE,2.748462285644146,1.879048293882086,3.8251834414946333,10000
CNN_Best3Grid,RMSE,6.054548640666792,3.596908960381985,8.249610011151622,10000
MobileViT_XXS,MAE,2.78529835775862,1.9002439570043104,3.8750291288793095,10000
MobileViT_XXS,RMSE,6.13165578444377,3.4474900397982515,8.487758912984118,10000
ViT_EqualMean,MAE,3.0615305118534484,2.275111538329741,4.016944161848061,10000
ViT_EqualMean,RMSE,5.75907744750221,3.5950139895750546,7.763824846058137,10000
