system,n,MAE,RMSE,R2,MAPE,Acc_2yr,Acc_5yr,Acc_10yr,Max_Error,Median_Error,Min_Error
CNN_Best3Grid,116,2.748462285644146,6.054548640666792,0.08371593468879801,14.124723753169393,71.55172413793103,87.06896551724138,96.55172413793103,31.346272496666668,1.1518049972222233,0.015689072222222933
EfficientNetV2M,116,2.7689537261913575,6.283693558924112,0.01304674519096849,13.454820265986168,66.37931034482759,93.96551724137932,96.55172413793103,34.35528003333333,1.2482186116071432,0.06828411111110988
MobileViT_XXS,116,2.78529835775862,6.13165578444377,0.060228820227340885,13.590617472896186,65.51724137931035,93.96551724137932,95.6896551724138,34.905926,1.350098000000001,0.04632600000000053
ViT_EqualMean,116,3.0615305118534484,5.75907744750221,0.17096583828277134,16.271907481961136,53.44827586206896,85.34482758620689,96.55172413793103,30.313072000000002,1.6821381249999998,0.004785749999996369
ResNet50,116,3.1211103718044573,6.381752748878973,-0.01799709137523986,16.140490978914286,50.86206896551724,93.96551724137932,95.6896551724138,34.546314933333335,1.8870114999999998,0.005078000000001026
InceptionV3,116,3.3080921897862026,6.204151623713662,0.037875231760555295,18.046680579070028,48.275862068965516,87.06896551724138,95.6896551724138,33.981131966666666,2.035117333333332,0.05905161111111035
DenseNet121,116,3.7990295933031053,6.45002411456568,-0.03989446246270534,20.695379635842936,38.793103448275865,86.20689655172413,95.6896551724138,29.61172656666667,2.8204887777777774,0.035443111111110426
ConvNeXtV2_Tiny,116,3.860283275862069,6.0827251304084315,0.07516773568148893,21.873289071120837,37.06896551724138,81.03448275862068,94.82758620689656,27.985472,2.9796994999999997,0.12833999999999968
InceptionResNetV2,116,3.998687853377525,6.498114805176067,-0.05545895455011629,22.586363257175826,26.72413793103448,81.89655172413794,96.55172413793103,32.7144443,2.6855712777777754,0.20582399999999978
TinyViT_11M,116,4.685890163793103,6.233131736649298,0.028865908053055223,28.95373740889941,18.96551724137931,70.6896551724138,93.10344827586206,25.94671,3.6833305000000003,0.062249999999998806
SwinV2_Tiny,116,5.46382,7.459830198539233,-0.3909914904566265,30.86505000247216,11.206896551724139,55.172413793103445,94.82758620689656,32.41418,4.83447275,0.15522800000000103
